,text,dict,entities,biluo,has_entity
10,"using the above pipeline, 70,428 dog images wereannotated for our tsinghua dogs dataset, includingabout 46,000 images of dogs taken in chinese cities,18,000 images from the stanford dogs dataset and,6,000 images downloaded from baidu, google andother image search engines. the total number ofdog breeds is 130. each image contains a single dog,annotated with bounding boxes of the dog’s head andthe whole dog (see fig. 7).we compare our dataset, cub-200, and stanford","{'entities': [(173, 194, 'DATASET_NAME')]}","[(173, 194, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
11,"the results on the yacht hydrodynamics dataset seem con-tradictory. the crps score for mcbn are extremely neg-ative, while the pll score is extremely positive. the op-posite trend is observed for mcdo. to add to the puzzle,the visualization in figure 2 depicts an extremely promis-ing uncertainty estimation that models the predictive errorswith high fidelity. we hypothesize that this strange behav-ior is due to the small size of the data set, which only con-tains 60 test samples, or due to the gaussian assumptionof crps. there is also a large variability in the model’saccuracy on this dataset, which further confounds the mea-surements for such limited data.","{'entities': [(19, 46, 'DATASET_NAME')]}","[(19, 46, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
12,considered the benchmark dataset of oxford flower dataset,"{'entities': [(36, 57, 'DATASET_NAME')]}","[(36, 57, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME']",True
13,"gistemp dataset is from 1880, is supplied by the nasa","{'entities': [(0, 15, 'DATASET_NAME')]}","[(0, 15, 'DATASET_NAME')]","['B-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
14,"repository (frank, & asuncion 2013) namely, ionosphere dataset, magic dataset, wisconsin","{'entities': [(44, 62, 'DATASET_NAME')]}","[(44, 62, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O']",True
15,"ionosphere dataset originally has 34 input parameters. by reviewing the input values, the","{'entities': [(0, 18, 'DATASET_NAME')]}","[(0, 18, 'DATASET_NAME')]","['B-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
16,"feature map extraction: the feature network con-tains a fully convolutional network that extracts featuresfrom the input image and its subsequent attention crops.these feature maps are shared for both part attention andfine-grained classification. during experiment, we adoptone of the popular cnn architectures (e.g., vgg-16 [11],googlenet [12] or resnet [13]) as the basis fully convo-lutional network, pre-trained on imagenet dataset [27] andfine-tuned on the target fine-grained dataset. during testing,the image and all attention crops are resized to a canonicalsize before feature extraction, similar to [16]. hence theamount of computation it performs can be controlled inde-pendently of the input image size.","{'entities': [(420, 428, 'DATASET_NAME')]}","[(420, 428, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
17,"imagenet large scale visual recognition challenge (ilsvrc) (russakovsky et al. 2014). more recent developments in convolutional neural networks include alexnet, vggnet, googlenet, and","{'entities': [(0, 8, 'DATASET_NAME')]}","[(0, 8, 'DATASET_NAME')]","['U-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
18,"clark, david, and patrick regan. 2016. mass mobilization protest data. cambridge: harvard dataverse. [crossref]collier, paul, and anke hoeffler. 2002. on the incidence of civil war in africa. journal of conflict resolution 46:","{'entities': [(39, 69, 'DATASET_NAME')]}","[(39, 69, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
19,transaction length of 7.23 items. online retail dataset,"{'entities': [(34, 55, 'DATASET_NAME')]}","[(34, 55, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME']",True
20,tends to overfit (nogueira et al. 2017). sat-6 airborne dataset with 324000 labelled training images,"{'entities': [(41, 63, 'DATASET_NAME')]}","[(41, 63, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O']",True
21,ionosphere dataset has many similar input values which made mwo algorithm not able to,"{'entities': [(0, 18, 'DATASET_NAME')]}","[(0, 18, 'DATASET_NAME')]","['B-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
22,"on stanford dogs dataset, our fcans take 3 hours totrain on a single tesla k40 gpu, significantly faster than aconventional recurrent attention model [17] that takes about30 hours to converge in our implementation. fine-tuningthe convolutional features requiring additional training timefor both models. for an image with 512×512 resolution,our testing time is ∼150ms. the cost of attention selectionis negligible compared with the feature calculation time.compared with recurrent attention models [17] that takes∼250ms during testing, our method is faster.","{'entities': [(3, 24, 'DATASET_NAME')]}","[(3, 24, 'DATASET_NAME')]","['O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
23,result of training time and classification accuracy of ann for ionosphere dataset is given in,"{'entities': [(63, 81, 'DATASET_NAME')]}","[(63, 81, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O']",True
24,"to investigate the effectiveness of the proposed method based on the hidden compact representationmodel, we compare it with baseline algorithms on both synthetic data and the real world data. onsynthetic data, we simulate the data according to the hidden compact representation model. in all theexperiments, we generate 1000 different causal pairs and 2000 samples for each pair. on real-worlddata, we run the algorithm on pittsburgh bridges dataset and abalone dataset. the implementation ofhcr can be found on cran 1.","{'entities': [(423, 449, 'DATASET_NAME')]}","[(423, 449, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
25,"[42] deng, j.; dong, w.; socher, r.; li, l.; li, k.; fei-fei,l. imagenet: a large-scale hierarchical image database.in: proceedings of the ieee conference on computervision and pattern recognition, 248–255, 2009.","{'entities': [(64, 72, 'DATASET_NAME')]}","[(64, 72, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
26,"vggnet was trained on the imagenet dataset (deng et al. 2009) with several million images, while","{'entities': [(26, 34, 'DATASET_NAME')]}","[(26, 34, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'U-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
27,"to further assess the performance of our method for the discrete casual inference, we test thealgorithms on two real-world datasets, pittsburgh bridges dataset and abalone dataset. both of themare wildly used in previous research and can be downloaded from uci machine learning repository[lichman, 2013].","{'entities': [(133, 159, 'DATASET_NAME')]}","[(133, 159, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
28,"in sat-6 have 4 channels while imagenet only has 3, using the same structure of the fully connected layers would result in a much larger network. this design was to reduce the network size and also to","{'entities': [(31, 39, 'DATASET_NAME')]}","[(31, 39, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'U-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
29,our model 88.9 -table 3. comparison to related work on stanford dogs dataset.,"{'entities': [(55, 76, 'DATASET_NAME')]}","[(55, 76, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O']",True
30,fig.9 root mean squared errors of semi-supervised knn and semi-supervised slssvrm regression model in combined cycle power plant data set.,"{'entities': [(102, 137, 'DATASET_NAME')]}","[(102, 137, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATASET_NAME', 'I-DATASET_NAME', 'I-DATASET_NAME', 'I-DATASET_NAME', 'I-DATASET_NAME', 'L-DATASET_NAME', 'O']",True
31,"the resurrection of neural networks in recent years, together with the recent emergence of largescale datasets, has enabled super-human performance on many classification tasks [21, 28, 30].however, supervised dnns often require a large number of training samples to achieve a high levelof performance. for instance, the imagenet dataset [6] has 3.2 million hand-annotated images.although crowdsourcing platforms like amazon mechanical turk have made large-scale annotationpossible, some error during the labeling process is often inevitable, and mislabeled samples canimpair the performance of models trained on these data. indeed, the sheer capacity of dnns tomemorize massive data with completely randomly assigned labels [42] proves their susceptibility tooverfitting when trained with noisy labels. hence, an algorithm that is robust against noisy labelsfor dnns is needed to resolve the potential problem. furthermore, when examples are cheap andaccurate annotations are expensive, it can be more beneficial to have datasets with more but noisierlabels than less but more accurate labels [18].","{'entities': [(321, 329, 'DATASET_NAME')]}","[(321, 329, 'DATASET_NAME')]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-DATASET_NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",True
